r_id,r_name,old_cat,parent_cat,subcategory,classification_notes,additional_info,link
AB-drug cjgt of,Antibody-drug conjugate of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Absorbability of,Absorbability of (SNOMED),ATTRIBUTE,Attribute,Physical,,Represents the absorbability aspect of an object.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-absorbability
Acc device used by,Access device used by (SNOMED),METADATA,,,,,
Accepted use of,Accepted use of (HemOnc),ATTRIBUTE,,,,,
Access of,Access of (SNOMED),ATTRIBUTE,Attribute,Procedure,,"Access (attribute) describes the route used to access the site of a procedure. It distinguishes open, closed, and percutaneous procedures.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index
Active ing of,Active ingredient of (SNOMED),COMPOSITION,Composition,Ingredient,,A medicinal product concept has a set of active ingredient substance(s) responsible for providing the therapeutic effect of the medicinal product and which are described using the clinically relevant part or whole of the substance that is intended to have a therapeutic action on or within the body,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/pharmaceutical-and-biologic-product/pharmaceutical-and-biologic-product-and-dose-form-attributes-summary/ingredient-substance-attributes#has-active-ingredient
Add monitor ind of,NHS dm+d (dictionary of medicines and devices) additional monitoring indicator of,ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Admin method of,Dose form administration method of (SNOMED),ATTRIBUTE,,,,,
Affected by process,Affected by process (SNOMED),INTERACTION,Attribute,Entity,,"Describes that a process specifically acts on some entity, e.g. by transporting that entity in or out of the body, i.e. Rate of intake of protein.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#process-acts-on
After,After (SNOMED),METADATA,Attribute,Temporal,"All listed as ""Clinical Finding and Disorder""","used to model concepts in which a clinical finding occurs after another clinical finding, procedure or event.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#after
AMP of,Actual Medicinal Product of (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
AMP restr ind of,NHS dm+d (dictionary of medicines and devices) AMP (actual medicinal product) availability restriction indicator of,ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Answer of,Answer of,ATTRIBUTE,,,,,
Answer of (PPI),Answer of (PPI),UNCATEGORISED,,,,,
Anticoag Rx of,Anticoag Rx of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Anticoag tx of,Anticoag tx of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Antineoplastic of,Antineoplastic of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Approach of,Approach of (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
ARP of,ARP of (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Asso finding of,Associated finding of (SNOMED),ATTRIBUTE,,,,,
Asso morph of,Associated morphology of (SNOMED),ATTRIBUTE,Attribute,Morphology,"All listed as ""Clinical Finding and Disorder""",specifies the morphologic changes seen at the tissue or cellular level that are characteristic of a disease.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#associated-morphology
Asso proc of,Associated procedure of (SNOMED),ATTRIBUTE,,,,,
Asso visit of,Associated visit of (OMOP),ATTRIBUTE,Attribute,Visit,,,
Asso with finding,Associated with finding (SNOMED),METADATA,,,,,
ATC - RxNorm,ATC to RxNorm,MAPS_TO,Identity,Vocab Mapping,"technically non-hierarchical, however, semantically resembles 'Subsumes' - 'Is a’","Connects ATC Classes and Drug Products, but not Ingredients",https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-ATC#other-information
ATC - RxNorm name,ATC to RxNorm equivalent by concept_name (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
ATC - RxNorm pr lat,ATC to RxNorm/Extension primary lateral (OMOP),MAPS_TO,Associative,Ingredient,"Semantically, it is an equivalent to ‘Maps to’ relationship_id, and usually (except for exemptions) has such a pair in concept_relationship_stage
non-hierarchical
The presence of this link is a prerequisite for creating a ‘Maps to’ relationship_id.","Connects Monocomponent ATC Class with its full semantic equivalent in the form of the main active Standard Ingredient.
Connects the 1st active ingredient of the ATC Polycomponent ATC Class with Standard Ingredient. 
Can be used for a group of similar ingredients (e.g. senna glycosides, estrogens)",https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-ATC#other-information
ATC - RxNorm pr up,ATC to RxNorm/Extension primary upwards (OMOP),MAPS_TO,Hierarchical,Ingredient,"is_hierarchical = 0 in OMOP CDM
Hierarchical (applied at the post-processing, gives +1 level of separation)
","Connects the 1st Ingredient Group of a Multicomponent ATC Class to respective Rx/RxE Ingredients
Applied to a Multicomponent ATC Class, whose name starts either from an Ingredient Group or the word of ‘^combinations’, or contains only one Ingredient Group, which is mentioned somewhere in the middle
Can be used for well-defined but diverse group of ingredients (e.g. diastase, tree pollen, feather)",https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-ATC#other-information
ATC - RxNorm sec lat,ATC to RxNorm/Extension secondary lateral (OMOP),MAPS_TO,Associative,Ingredient,"Non-hierarchical
The presence of this link is a prerequisite for creating a ‘Maps to’ relationship_id.",Connects the 2nd active ingredient OR any subsequent active ingredient of a Multicomponent ATC Class to Rx/RxE Ingredient.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-ATC#other-information
